order_id,customer_id,province,amount,status,order_date
20,CUS038,HaiPhong,3086646.0,SUCCESS,2026-05-11
217,CUS036,DaNang,1906962.0,PENDING,2026-07-30
164,CUS018,CanTho,387487.0,CANCELLED,2026-05-01
121,CUS039,Hanoi,1423767.0,FAILED,2026-05-29
189,CUS040,HaiPhong,723733.0,FAILED,2026-08-08
4,CUS036,HCM,4621300.0,SUCCESS,2026-05-31
140,CUS008,HCM,2697008.0,SUCCESS,2026-09-01
131,CUS049,HaiPhong,4830245.0,PENDING,2026-03-28
62,CUS035,DaNang,4487076.0,SUCCESS,2026-03-18
167,CUS021,Hanoi,1399096.0,SUCCESS,2026-05-07
67,CUS022,HCM,2247440.0,SUCCESS,2026-05-22
135,CUS016,HaiPhong,4148488.0,PENDING,2026-06-26
113,CUS006,HaiPhong,1188329.0,FAILED,2026-01-13
71,CUS003,DaNang,1812249.0,PENDING,2026-01-27
119,CUS010,HCM,1108818.0,SUCCESS,2026-05-25
212,CUS022,Hanoi,3978648.0,FAILED,2026-07-13
123,CUS046,HCM,687504.0,PENDING,2026-03-04
31,CUS006,Hanoi,4126783.0,CANCELLED,2026-07-16
45,CUS028,HCM,2386606.0,SUCCESS,2026-04-24
174,CUS016,HCM,2656761.0,PENDING,2026-04-15
19,CUS036,CanTho,2254036.0,PENDING,2026-08-18
9,CUS041,CanTho,3083614.0,PENDING,2026-01-18
26,CUS047,DaNang,4249220.0,CANCELLED,2026-08-22
128,CUS047,CanTho,2315615.0,PENDING,2026-07-18
129,CUS031,HaiPhong,3703863.0,CANCELLED,2026-03-10
83,CUS017,Hanoi,3707915.0,SUCCESS,2026-06-25
48,CUS014,HaiPhong,541869.0,SUCCESS,2026-04-10
36,CUS005,DaNang,226448.0,PENDING,2026-05-31
78,CUS022,DaNang,632343.0,FAILED,2026-03-31
35,CUS024,HaiPhong,4391740.0,SUCCESS,2026-02-27
194,CUS002,Hanoi,2771051.0,CANCELLED,2026-04-02
170,CUS033,Hanoi,4601604.0,SUCCESS,2026-02-18
104,CUS035,Hanoi,1210765.0,SUCCESS,2026-06-27
133,CUS017,DaNang,2395945.0,FAILED,2026-08-14
112,CUS035,Hanoi,3355281.0,PENDING,2026-01-07
61,CUS005,HCM,3149817.0,SUCCESS,2026-08-02
100,CUS047,CanTho,3629760.0,CANCELLED,2026-04-25
