order_id,customer_id,province,amount,status,order_date,source_file,load_time
20,CUS038,HaiPhong,3086646,SUCCESS,2026-05-11,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
217,CUS036,DaNang,1906962,Pending,2026-07-30,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
164,CUS018,CanTho,387487,CANCELLED,2026-05-01,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
121,CUS039,Hanoi,1423767,FAILED,2026-05-29,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
189,CUS040,HaiPhong,723733,Failed,2026-08-08,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
231,CUS033,CanTho,-1,SUCCESS,2026-07-23,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
4,CUS036,HCM,4621300,success,2026-05-31,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
140,CUS008,HCM,2697008,Success,2026-09-01,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
,CUS023,HCM,4989656,success,2026-01-05,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
131,CUS049,HaiPhong,4830245,pending,2026-03-28,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
62,CUS035,DaNang,4487076,Success,2026-03-18,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
167,CUS021,Hanoi,1399096,Success,2026-05-07,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
67,CUS022,HCM,2247440,success,2026-05-22,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
135,CUS016,HaiPhong,4148488,PENDING,2026-06-26,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
113,CUS006,HaiPhong,1188329,FAILED,2026-01-13,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
71,CUS003,DaNang,1812249,Pending,2026-01-27,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
119,CUS010,HCM,1108818,SUCCESS,2026-05-25,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
212,CUS022,Hanoi,3978648,FAILED,2026-07-13,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
123,CUS046,HCM,687504,Pending,2026-03-04,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
31,CUS006,Hanoi,4126783,Cancelled,2026-07-16,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
45,CUS028,HCM,2386606,SUCCESS,2026-04-24,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
,CUS032,CanTho,3473524,success,2026-01-09,file:///C:/Users/ADMIN/Downloads/pyspark-orders-repo%20(1)/pyspark-orders-repo/orders.csv,2026-09-10T09:31:12.799+07:00
